,text,0,1,2
516,сайт российского отделения                            подвергся      атаке после публикации о квартире вице премьера дмитрия рогозина  которую антикоррупционная организация оценила в     миллионов рублей  об этом в пятницу     марта  сообщили  ведомости   в докладе                                                                            опубликованном     на сайте  сообщается  что квартира на староволынской улице в москве  где проживают три поколения семьи рогозиных  была приобретена в      году  ее стоимость превышает совокупный доход всех членов семьи за много лет  квартира площадью     квадратных метров числится в                                                                                                 декларациях     рогозина  его жены  а также в декларации их сына алексея рогозина  который недавно стал замруководителя департамента имущества минобороны  из этих же данных организация подсчитала  что совокупный доход вице премьера  его жены и сына с      по      годы составил            рубля  вскоре после публикации сайт российского отделения                            оказался недоступен  заместитель директора центра илья шуманов сообщил  ведомостям   что на сайт         мск идет   о  атака  шуманов прямо связал это с публикацией материала о рогозине   никаких других острых текстов в эти дни мы не публиковали   организация подготовила официальное обращение в надзорные органы с просьбой провести проверку этой информации                               неправительственная международная организация по борьбе с коррупцией и исследованию ее уровня по всему миру  основанная в      году бывшим директором всемирного банка петером айгеном в берлине  российское отделение открылось в      году в форме нко  ,society,,
517,порошенко попросил совет европы направить в россию спецкомиссию президент украины петр порошенко попросил совет европы  се  направить в россию специальную миссию для мониторинга ситуации с заключенными гражданами украины  об этом в пятницу     марта  он рассказал на встрече с комиссаром се по правам человека нильсом муйжниексом                                                                                                                                  сообщает     пресс служба украинского лидера   необходимо использовать все возможности  включая направление специальной миссии  для контроля за ситуацией с заключенными украинцами и ввести другие необходимые механизмы  в том числе мониторинг россии европейским комитетом по предупреждению пыток     пояснил порошенко  он призвал муйжниекса способствовать освобождению военнослужащей надежды савченко и других содержащихся в россии украинских граждан  по словам порошенко  они  незаконно удерживаются в россии  по политическим мотивам  в свою очередь муйжниекс сообщил  что следит за ситуацией с савченко и другими заключенными украинцами  ранее    марта глава администрации президента россии сергей иванов                                                                        допустил     возможность обмена украинской военнослужащей надежды савченко на задержанных на украине россиян  во вторник     марта  после того как донецкий суд ростовской области                                                                       приговорил     савченко к    годам колонии  президент украины петр порошенко заявил  что готов обменять ее на двух россиян  имен граждан рф он не назвал  но  очевидно  речь идет об александре александрове и евгении ерофееве   в россии савченко признали виновной в убийстве российских журналистов под луганском и в покушении на убийство еще одного  также ей назначили штраф в размере    тысяч рублей за незаконное пересечение границы россии  с учетом срока нахождения под стражей савченко предстоит отбывать наказание в течение    лет и четырех месяцев  киев считает  что обмен украинской военнослужащей соответствует букве минских соглашений  в них содержится пункт   обеспечить освобождение и обмен всех заложников и незаконно удерживаемых лиц на основе принципа  всех на всех    однако в москве заявляют  что это положение не имеет никакого отношения к россии  а касается лишь сторон конфликта  то есть ополченцев донбасса и властей украины     марта минюст россии                                                                    получил     обращение киева о передаче режиссера олега сенцова и еще троих осужденных в россии украинских граждан  оно будет рассмотрено в течение месяца     августа прошлого года северо кавказский окружной военный суд в ростове на дону признал украинского режиссера олега сенцова виновным в создании в крыму террористического сообщества и руководстве им  попытке приобретения взрывных устройств  незаконном хранении оружия  а также в совершении двух терактов и подготовке еще одного  он был приговорен к    годам колонии строгого режима  второй подсудимый  кольченко  получил    лет колонии строгого режима  ,ucraine,,
518,кадыров рассказал о счастье выполнять поручения путина рамзан кадыров  который в пятницу     марта  назначен и о  главы чечни  заявил  что для него получить от президента россии владимира путина любое поручение является огромным счастьем  об этом кадыров написал в своем                                                                                                              я бы безоговорочно приступил к исполнению обязанностей  если бы даже речь шла о работе сторожем     отметил он  руководитель региона также указал  что воспринимает указ президента о назначении как неограниченную ответственность и тяжелую ношу   четко осознаю  что нельзя жить былыми заслугами  теперь важно дать в работе новый старт  ставить новые и более сложные задачи     подчеркнул кадыров  в пятницу путин                                                                  подписал      указ о назначении рамзана кадырова исполняющим обязанности главы чеченской республики в связи с истечением срока полномочий    апреля  и до вступления в должность лица  избранного руководителем региона  на встрече с кадыровым президент выразил надежду  что в сентябре этого года кадыров поучаствует в выборах   рассчитываю на то  что жители чечни  чеченский народ сможет оценить по достоинству в ходе избирательной кампании и выборов то  что вы сделали для республики                                                                                    рассказал      путин  в феврале глава чечни                                                                    заявил      что его время на посту руководителя региона подошло к концу  и на эту должность необходимо найти другого человека  однако в кремле                                                                            отметили      что ориентируются не на его заявления об уходе с поста главы чечни  а на объективную оценку его работы  кадыров вступил в должность главы республики   апреля      года  на второй срок   следующий глава республики будет избираться прямым голосованием жителей региона в единый день голосования      сентября  ,politics,,
519,за призыв к си цзиньпину уйти в отставку задержали    китайцев за призыв к председателю си цзиньпину уйти в отставку были задержаны    китайцев  об этом сообщает           открытое письмо было опубликовано на сайте                                                                               поддерживаемом правительством страны   дорогой товарищ си цзиньпин  мы верные члены коммунистической партии    говорится в документе   и мы пишем это  призывая вас отказаться от всех государственных и партийных постов   в письме сообщается о том  что председатель сосредоточил всю полноту власти в своих руках  допустил просчеты в экономической и внешней политике  а также  парализовал страну   еще сильнее ограничив свободу слова  вскоре после опубликования сообщение было удалено  изначально крамольное письмо появилось на одном из зарубежных сайтов на китайском языке  и осталось загадкой  как оно попало на             предполагается  что ресурс мог стать жертвой хакерской атаки  среди задержанных оказались десять журналистов и десять человек из числа технического персонала  которые занимались обеспечением работы сайта     февраля от членов коммунистической партии китая                                                                                        потребовали      мыслями и делами следовать в русле центрального руководства  возглавляемого си цзиньпином   днем ранее учебным заведениям страны                                                                                       приказали     заняться пропагандой патриотизма  ,politics,criminal,
520,в сша подросток угнал автомобиль с    летней женщиной в иллинойсе подросток угнал со стоянки автомобиль с    летней женщиной внутри  об этом сообщает телеканал        инцидент произошел в парк ридж  пригороде чикаго  вечером    марта семья пожилой женщины оставила машину на парковке у аптеки и отошла за покупками  когда родственники вернулись  машина и находившаяся внутри женщина исчезли   физически она в порядке  угонщик не причинил ей никакого вреда     заявил представитель полиции  полицейский добавил  что подросток отвез женщину домой  после чего направился в сторону чикаго  где был остановлен для проверки документов и задержан  по данным полиции     летний угонщик связан со многочисленными случаями пропаж автомобилей  сотрудники органов правопорядка расспрашивают подростка о мотивах его действий  по их данным  подозреваемый работает в команде с двумя сверстниками  задержанными ранее  ,criminal,,
521,в белоруссии решили повысить пенсионный возраст на три года вариант повышения пенсионного возраста на три года  до    лет у женщин и    лет у мужчин  признан на совещании у президента белоруссии александра лукашенко наиболее приемлемым  об этом заявила министр труда и соцзащиты марианна щеткина  сообщает                                                                         в пятницу     марта  при этом она отметила  что экономически более выгоден вариант с    и    лет соответственно  однако принятый план реформы является  более мягким и учитывающим нагрузку на женщин    президент принял волевое решение и сказал  что другие варианты просто не будут рассматриваться  да  наши женщины сегодня нуждаются в поддержке  и мы ее будем оказывать     подчеркнула она  повышение пенсионного возраста в белоруссии начнется с   января      года  переход займет полгода  на следующей неделе лукашенко намерен подписать документы  касающиеся реформы пенсионной системы     марта лукашенко заявлял о том  что при повышении пенсионного возраста необходимо учитывать специфику условий труда и жизни  в частности  разницу между городом и селом  в белоруссии  также как и в россии  женщины начинают получать пенсию с     а мужчины   с    лет  в россии ряд экономистов и представителей финансово экономического блока правительства выступают за повышение пенсионного возраста  так     марта министр экономического развития алексей улюкаев и бывший министр финансов алексей кудрин одновременно заявили о том  что решение о повышении возраста выхода на пенсию может быть принято уже в этом году  после проведения выборов в госдуму  ,society,politics,economics
522,в китае участники марафонского забега съели мыло  приняв его за энергетические батончики  об этом сообщает в пятницу     марта                         марафон состоялся    марта в городе цинъюань провинции гуандун  участники забега получили от организаторов соревнований подарочные пакеты  в которых находились пачки мыла с виноградным ароматом  спортсмены приняли их за энергетические батончики  людей смутила упаковка на английском языке   упаковки с мылом и правда походили на нечто съедобное  это наша ошибка     заявил один из организаторов мероприятия  в забеге приняли участие более    тысяч человек  более    тысяч обратились за медицинской помощью  в том числе с жалобами на слабость  спазмы и боли в желудке     бегуна были госпитализированы  пять из них находятся в критическом состоянии  ,sport,,
523,в сети появились данные о сроках постройки новых атомных подлодок российский военный блогер дмитрий болтенков                                                                         опубликовал     данные о сроках постройки и сдачи заказчику подводных лодок проекта    а  борей а  и    м  ясень м   в общей сложности в           годах вмф россии должен получить    атомных субмарин двух новых проектов  в         годах флоту были переданы четыре новых апл  таблица также была опубликована в сообществе  подводники россии                                                                             соцсети      вконтакте    лента ру  приводит эти данные ниже  дополнив ее наименованиями подлодок и датами закладки  известными из открытых источников  опубликованная информация подтверждает ранее появившиеся в сети                                                                      данные     об изменении сроков реализации гпв      в части подводного флота  исходные планы                                                                  предусматривали     сдачу флоту всех восьми заказанных ракетоносцев проекта     и семи многоцелевых субмарин проекта     до конца      года  измененные сроки предполагают завершение строительства заказанных  бореев  в       и  ясеней    в      году  одновременно  севмаш  и ряд других предприятий оск                                                                 ведут     строительство атомных субмарин специального назначения и реализуют обширную программу модернизации и продления сроков службы атомных подводных лодок предыдущих проектов  в ближайшие годы флот                                                                       получит        модернизированных многоцелевых субмарин проектов     и    а  также ремонт и модернизацию проходят стратегические ракетоносцы проекта    бдрм  ,society,criminal,economics
524,мрот доведут до прожиточного минимума к      году повышение минимального размера оплаты труда  мрот  в россии до уровня прожиточного минимума может потребовать трех лет  об этом заявил глава минтруда максим топилин  передает                                                риа новости       я думаю  это три года   скорее     й год     приводит агентство его слова  ранее    марта глава правительства дмитрий медведев                                                                   сообщил     о принятом им решении увеличить мрот с   июля до     тысячи рублей  что почти на четверть больше нынешнего показателя  в совете федерации                                                                   заявили      что готовы поддержать данное решение  на увеличение мрот                                                                 понадобится     около шести миллиардов рублей в год     марта глава минтруда                                                                  призвал     до конца года разработать закон о повышении минимального размера оплаты труда и согласовать его с заинтересованными сторонами  сейчас мрот в россии составляет       рубля в месяц  прожиточный минимум         рубля  разрыв между ними составляет       рублей  ,economics,,
525,в москве погиб промышленный альпинист  сорвавшийся с высоты    го этажа  об этом в пятницу     марта  сообщается на                                                                       сайте     главного следственного управления ск по москве  инцидент произошел на улице валовой     летний начальник бригады промышленных альпинистов не закрепил страховочный трос и сорвался во время сезонной очистки окон офисного здания  от полученных травм пострадавший скончался на месте  по данному факту проводится доследственная проверка  по результатам которой будет принято процессуальное решение  в марте      года в уфе мужчина  находившийся в состоянии алкогольного опьянения                                                                       перерезал     страховочный трос промышленному альпинисту  занимавшемуся ремонтными работами на уровне пятого этажа  в результате падения рабочий получил тяжелые травмы и был госпитализирован  в октябре      го на украине житель многоэтажного дома в запорожье                                                                      перерезал     один из тросов промышленного альпиниста  пока он пытался дотянуться до второго  рабочий успел спуститься  ,damage,,
526,в кении из за ложного сигнала об атаке боевиков пострадали    студентов в кении по меньшей мере    студентов пострадали во время паники из за ложного сигнала об атаке боевиков  об этом в пятницу     марта сообщает                                                                      инцидент произошел в университете  расположенном неподалеку от столицы страны найроби  учащиеся  услышав крик своего однокурсника  решили  что экстремисты напали на университет  из за этого в здании образовалась давка  многие стали выпрыгивать из окон верхних этажей  в апреле прошлого года боевики террористической группировки  аш шабаб                                                                    напали     на общежитие университета в городе гарисса  расположенном на северо востоке страны  тогда погибли     человек  еще    получили ранения  спецслужбам удалось освободить     студентов  взятых в заложники  все четверо нападавших были уничтожены  террористическая группировка  аш шабаб    союзница запрещенной в россии террористической организации  аль каида   экстремистская организация ставит целью создание общества  живущего по законам шариата  и планирует добиться этого путем джихада  ,criminal,,
527,            бойца     бороды врезался в столб на юге москвы автомобиль              принадлежащий бойцу     адаму яндиеву по прозвищу борода  протаранила столб на варшавском шоссе в москве  об этом в пятницу     марта  сообщает телеканал      подмосковье   в результате дтп один человек погиб  еще один пострадал  по данным радиостанции                                                       говорит москва       в машине находились два человека  водитель погиб  по словам брата спортсмена абукара яндиева  за рулем машины сидел мастер автосервиса   мне много людей начали звонить и спрашивать насчет аварии  друзья  за рулем был мастер сервиса  в котором должны были сделать то  техобслуживание    прим   ленты ру    к сожалению  он разбился насмерть  а пассажир в коме  выражаю свои соболезнования родным погибшего     написал на своей странице в                                                                                                             очевидцы сообщают  что на варшавском шоссе образовалась пробка  адам яндиев родился в      году в республике ингушетия  в      году его семья переехала в москву  первый приз завоевал на соревнованиях по борьбе в    лет  в      году яндиев получил звание мастера спорта по дзюдо  затем спортсмен перешел в смешанные единоборства  как указывается на официальном                                                       сайте     яндиева  боец пропагандирует здоровый образ жизни  ,damage,,
528,       запланировал удержать долю российского авторынка на уровне прошлых лет компания        намерена сохранить долю на российском автомобильном рынке в       процента  об этом сообщает агентство  прайм  со ссылкой на управляющего директора        в россии андрея акифьева  по его словам  это уровень прошлых лет  однако сохранить его в текущих условиях будет непросто  так как авторынок находится ниже показателей      года  по итогам февраля      года        занял шестое место в рейтинге самых популярных автомобильных брендов россии  в тройке лидеров                 и      по данным ассоциации европейского бизнеса  аеб   продажи        в россии в      году                                                                   упали     на    процента  глава альянса                карлос гон заявил  что ожидает продолжения спада продаж в      году     февраля стало известно  что завод        в санкт петербурге перешел на односменный режим работы вместо двусменного  до конца марта компания намеревалась оптимизировать штат рабочих     февраля директор департамента транспортного и специального машиностроения минпромторга алексей наумов заявил  что производственные мощности российских автозаводов загружены только на    процентов  общая численность работников  занятых в производстве автомобилей  прицепов и полуприцепов  с начала      года                                                                     сократилась     на     процента и в настоящее время составляет     тысяч человек  согласно прогнозу аеб на      год  объем российского автомобильного рынка                                                                        составит          миллиона автомобилей  в феврале текущего года рынок продемонстрировал наименьшее падение за    месяцев  по мнению председателя комитета автопроизводителей ассоциации йорга шрайбера  такой эффект обусловлен низкой базой прошлого года  рынок подержанных автомобилей в феврале вырос на      процента  до     тысяч проданных машин  положительная динамика продаж отмечена впервые с декабря      года  ,economics,society,
529,режиссер андрей кончаловский высказался в защиту министра культуры россии владимира мединского и возглавляемого им ведомства   последние события и скандал вокруг министерства культуры навели меня на грустные размышления  у меня в памяти встают такие понятия современного русского фольклора  как  захват    рейдерство    наезд   я не знаю  почему у меня такие ощущения  не утверждаю  что следственный комитет работает предвзято  но публичная реакция  которая разворачивается в россии  напоминает пословицу  в ухо сидору  в ноги якову      сказал режиссер в беседе с  лентой ру   по мнению кончаловского  надежды на то  что уход мединского обеспечит расцвет работы минкульта  наивны  а предложения об отставке эмоциональны и не являются примером государственного мышления  кончаловский высоко оценил работу мединского на посту главы минкульта   видно  что человек реально занимается делами  работает на культуру не только в пределах садового кольца  но в масштабах страны  уделяет внимание локальным объектам культуры в провинциальных городах и даже на селе  это заслуживает колоссального уважения      заметил режиссер  подчеркнув  что разрушить легко  а построить что либо гораздо сложнее  и что государство должно бережно относиться к активности и креативности руководителя ведомства и не допускать провокаций     марта общественный совет министерства культуры рф                                                                    призвал     воздержаться от обвинений в адрес ведомства до окончания следствия по делу о хищениях     марта следствие предъявило обвинение замминистра культуры григорию пирумову  ему вменяется мошенничество в особо крупном размере  по версии следствия  в      году пирумов создал преступную группу  в которую вошли другие чиновники ведомства и главы компаний подрядчиков  они заключали государственные контракты с ложной информацией и завышенной стоимостью реставрационных работ с целью хищения выделенных на это госсредств  ,criminal,politics,culture
530,в замке тинтагель в корнуолле  который считается местом рождения короля артура  построят подвесной мост  как сообщает               это облегчит путешественникам путь до древней крепости  расположенной на скалистом утесе  конкурс на постройку выиграла бельгийская компания                 по ее проекту мост состоит из двух частей  между которыми будет небольшой пробел  по словам авторов идеи  две части конструкции  символизируют переход между материком и островом  настоящим и прошлым  реальностью и легендой   строительство моста оценивается в четыре миллиона фунтов      миллиона долларов   планируется  что он будет построен весной      года  в настоящее время до замка можно добраться только по деревянному мосту и крутой лестнице  ежегодно его посещают более     тысяч человек  в начале октября      года                                                                        сообщалось      что в китайской провинции хэнань треснул     метровый стеклянный мост  это произошло после того  как один из путешественников уронил на покрытие стальную кружку  хотя местные власти уверяли  что путешественникам ничто не угрожало  мост был закрыт для туристов после инцидента  ,criminal,politics,damage
